date,zone_id,slot_idx,slot_name,r_ref_zt,x_uniform,x_nominal,x_static,x_dynamic,s_uniform,s_nominal,s_static,s_dynamic
12/25/2024,4,7,Wed_Eve,0.246939676,1,2,2,5,0.125,0.25,0.25,0.625
12/25/2024,4,8,Wed_Ngt,0.177972383,1,2,2,5,0.125,0.25,0.25,0.625
12/25/2024,4,9,Thu_Day,0.416221348,1,3,1,4,0.125,0.375,0.125,0.5
12/25/2024,4,10,Thu_Eve,0.444676643,1,3,3,2,0.125,0.375,0.375,0.25
12/25/2024,4,11,Thu_Ngt,0.54442702,1,5,1,1,0.125,0.625,0.125,0.125
12/25/2024,4,12,Fri_Day,0.376573827,1,3,3,3,0.125,0.375,0.375,0.375
12/25/2024,4,13,Fri_Eve,0.246250306,1,2,5,5,0.125,0.25,0.625,0.625
12/25/2024,4,14,Fri_Ngt,0.424776384,1,3,3,5,0.125,0.375,0.375,0.625
12/25/2024,4,15,Sat_Day,0.269003118,1,2,1,3,0.125,0.25,0.125,0.375
12/25/2024,4,16,Sat_Eve,0.336251948,1,2,1,4,0.125,0.25,0.125,0.5
12/25/2024,4,17,Sat_Ngt,0.466028537,1,4,3,5,0.125,0.5,0.375,0.625
12/25/2024,4,18,Sun_Day,0.338229756,1,2,5,3,0.125,0.25,0.625,0.375
12/25/2024,4,19,Sun_Eve,0.427665496,1,3,5,2,0.125,0.375,0.625,0.25
12/25/2024,4,20,Sun_Ngt,0.343197563,1,2,5,4,0.125,0.25,0.625,0.5
12/25/2024,5,0,Mon_Day,0.081099403,1,1,1,0,0.125,0.125,0.125,0
12/25/2024,5,1,Mon_Eve,0.064763952,1,1,3,0,0.125,0.125,0.375,0
12/25/2024,5,2,Mon_Ngt,0.045068065,1,1,3,0,0.125,0.125,0.375,0
12/25/2024,5,3,Tue_Day,0.096094666,1,1,1,0,0.125,0.125,0.125,0
12/25/2024,5,4,Tue_Eve,0.067581591,1,1,0,2,0.125,0.125,0,0.25
12/25/2024,5,5,Tue_Ngt,0.021188698,1,0,0,1,0.125,0,0,0.125
12/25/2024,5,6,Wed_Day,0.054420754,1,1,0,1,0.125,0.125,0,0.125
12/25/2024,5,7,Wed_Eve,0.048638212,1,0,0,0,0.125,0,0,0
12/25/2024,5,8,Wed_Ngt,0.032879089,1,0,1,0,0.125,0,0.125,0
12/25/2024,5,9,Thu_Day,0.037031773,1,0,0,0,0.125,0,0,0
12/25/2024,5,10,Thu_Eve,0.02034255,1,0,2,1,0.125,0,0.25,0.125
12/25/2024,5,11,Thu_Ngt,0.022797881,1,0,2,1,0.125,0,0.25,0.125
12/25/2024,5,12,Fri_Day,0.037533981,1,0,0,0,0.125,0,0,0
12/25/2024,5,13,Fri_Eve,0.069844275,1,1,1,0,0.125,0.125,0.125,0
12/25/2024,5,14,Fri_Ngt,0.270805798,1,2,0,1,0.125,0.25,0,0.125
12/25/2024,5,15,Sat_Day,0.210232271,1,2,1,0,0.125,0.25,0.125,0
12/25/2024,5,16,Sat_Eve,0.029779041,1,0,0,0,0.125,0,0,0
12/25/2024,5,17,Sat_Ngt,0.04356067,1,0,0,0,0.125,0,0,0
12/25/2024,5,18,Sun_Day,0.052774647,1,1,0,0,0.125,0.125,0,0
12/25/2024,5,19,Sun_Eve,0.044856961,1,1,0,0,0.125,0.125,0,0
12/25/2024,5,20,Sun_Ngt,0.021134409,1,0,1,1,0.125,0,0.125,0.125
12/25/2024,6,0,Mon_Day,0.116216866,1,1,1,0,0.125,0.125,0.125,0
12/25/2024,6,1,Mon_Eve,0.034293335,1,0,0,0,0.125,0,0,0
12/25/2024,6,2,Mon_Ngt,0,1,0,0,0,0.125,0,0,0
12/25/2024,6,3,Tue_Day,0.078695292,1,1,0,0,0.125,0.125,0,0
12/25/2024,6,4,Tue_Eve,0.005862594,1,0,0,0,0.125,0,0,0
12/25/2024,6,5,Tue_Ngt,0,1,0,0,1,0.125,0,0,0.125
12/25/2024,6,6,Wed_Day,0.006802594,1,0,0,0,0.125,0,0,0
12/25/2024,6,7,Wed_Eve,0.003730223,1,0,0,0,0.125,0,0,0
12/25/2024,6,8,Wed_Ngt,0.408154211,1,2,0,1,0.125,0.25,0,0.125
12/25/2024,6,9,Thu_Day,0.011394392,1,0,0,0,0.125,0,0,0
12/25/2024,6,10,Thu_Eve,0,1,0,0,0,0.125,0,0,0
12/25/2024,6,11,Thu_Ngt,0.022797881,1,0,1,0,0.125,0,0.125,0
12/25/2024,6,12,Fri_Day,0.003127832,1,0,0,0,0.125,0,0,0
12/25/2024,6,13,Fri_Eve,0.128000285,1,1,0,0,0.125,0.125,0,0
12/25/2024,6,14,Fri_Ngt,0,1,0,0,0,0.125,0,0,0
12/25/2024,6,15,Sat_Day,0.007839799,1,0,0,0,0.125,0,0,0
12/25/2024,6,16,Sat_Eve,0,1,0,0,0,0.125,0,0,0
12/25/2024,6,17,Sat_Ngt,0,1,0,0,1,0.125,0,0,0.125
12/25/2024,6,18,Sun_Day,0.069532344,1,1,0,0,0.125,0.125,0,0
12/25/2024,6,19,Sun_Eve,0.018862439,1,0,0,0,0.125,0,0,0
12/25/2024,6,20,Sun_Ngt,0,1,0,1,0,0.125,0,0.125,0
12/25/2024,7,0,Mon_Day,0.007279911,1,0,0,0,0.125,0,0,0
12/25/2024,7,1,Mon_Eve,0.072287069,1,1,0,0,0.125,0.125,0,0
12/25/2024,7,2,Mon_Ngt,0,1,0,0,1,0.125,0,0,0.125
12/25/2024,7,3,Tue_Day,0.006583636,1,0,0,1,0.125,0,0,0.125
12/25/2024,7,4,Tue_Eve,0.016678068,1,0,1,0,0.125,0,0.125,0
12/25/2024,7,5,Tue_Ngt,0.02023995,1,0,1,0,0.125,0,0.125,0
12/25/2024,7,6,Wed_Day,0.057664707,1,1,0,0,0.125,0.125,0,0
12/25/2024,7,7,Wed_Eve,0.066873354,1,1,0,1,0.125,0.125,0,0.125
12/25/2024,7,8,Wed_Ngt,0,1,0,0,0,0.125,0,0,0
12/25/2024,7,9,Thu_Day,0.053292112,1,1,0,0,0.125,0.125,0,0
12/25/2024,7,10,Thu_Eve,0.121563298,1,1,2,0,0.125,0.125,0.25,0
12/25/2024,7,11,Thu_Ngt,0,1,0,0,1,0.125,0,0,0.125
12/25/2024,7,12,Fri_Day,0.005962429,1,0,0,1,0.125,0,0,0.125
12/25/2024,7,13,Fri_Eve,0.003676001,1,0,0,0,0.125,0,0,0
12/25/2024,7,14,Fri_Ngt,0.013892083,1,0,0,0,0.125,0,0,0
12/25/2024,7,15,Sat_Day,0.007472309,1,0,0,0,0.125,0,0,0
12/25/2024,7,16,Sat_Eve,0.080269552,1,1,0,1,0.125,0.125,0,0.125
12/25/2024,7,17,Sat_Ngt,0,1,0,0,0,0.125,0,0,0
12/25/2024,7,18,Sun_Day,0.016766945,1,0,0,1,0.125,0,0,0.125
12/25/2024,7,19,Sun_Eve,0.044488323,1,0,0,0,0.125,0,0,0
12/25/2024,7,20,Sun_Ngt,0,1,0,0,0,0.125,0,0,0
12/25/2024,8,0,Mon_Day,0.099926335,1,1,0,0,0.125,0.125,0,0
12/25/2024,8,1,Mon_Eve,0.083284861,1,1,0,1,0.125,0.125,0,0.125
12/25/2024,8,2,Mon_Ngt,0.104505657,1,1,1,1,0.125,0.125,0.125,0.125
12/25/2024,8,3,Tue_Day,0.015960329,1,0,0,0,0.125,0,0,0
12/25/2024,8,4,Tue_Eve,0.060443957,1,0,0,0,0.125,0,0,0
12/25/2024,8,5,Tue_Ngt,0.03930657,1,1,1,0,0.125,0.125,0.125,0
12/25/2024,8,6,Wed_Day,0.050801924,1,0,0,1,0.125,0,0,0.125
12/25/2024,8,7,Wed_Eve,0.253272837,1,2,0,1,0.125,0.25,0,0.125
12/25/2024,8,8,Wed_Ngt,0.040662062,1,1,0,1,0.125,0.125,0,0.125
12/25/2024,8,9,Thu_Day,0.013163975,1,0,0,1,0.125,0,0,0.125
12/25/2024,8,10,Thu_Eve,0.034186785,1,0,0,0,0.125,0,0,0
12/25/2024,8,11,Thu_Ngt,0.126875166,1,1,2,1,0.125,0.125,0.25,0.125
12/25/2024,8,12,Fri_Day,0.228006046,1,2,2,0,0.125,0.25,0.25,0
12/25/2024,8,13,Fri_Eve,0.152923505,1,1,0,0,0.125,0.125,0,0
12/25/2024,8,14,Fri_Ngt,0.040468242,1,0,1,1,0.125,0,0.125,0.125
12/25/2024,8,15,Sat_Day,0.01449175,1,0,0,0,0.125,0,0,0
12/25/2024,8,16,Sat_Eve,0.042896,1,0,2,0,0.125,0,0.25,0
12/25/2024,8,17,Sat_Ngt,0.080808199,1,1,1,1,0.125,0.125,0.125,0.125
12/25/2024,8,18,Sun_Day,0.266521214,1,2,0,3,0.125,0.25,0,0.375
12/25/2024,8,19,Sun_Eve,0.023774533,1,0,0,1,0.125,0,0,0.125
12/25/2024,8,20,Sun_Ngt,0.01960293,1,0,0,0,0.125,0,0,0
